District,RMSE,MAE,MAPE (%),AIC,BIC,ADF p-value,Ljung-Box p-value,CI Coverage (%),Data Points,Order
Pune,138.1,74.2,7.8,269.0,272.5,0.0,0.9965,96.0,25,"(1, 1, 1)"
Jaipur,141.2,88.2,9.6,284.2,287.7,0.0465,0.96,100.0,25,"(1, 1, 1)"
Delhi,168.4,94.0,8.9,287.7,291.3,0.1798,0.9777,96.0,25,"(1, 1, 1)"
Ahmedabad,193.1,107.7,7.8,292.3,295.8,0.3608,0.9494,92.0,25,"(1, 1, 1)"
Bangalore,234.2,110.0,7.7,289.1,292.7,0.2933,0.9717,92.0,25,"(1, 1, 1)"
Lucknow,240.4,105.5,6.6,280.0,283.5,0.0,0.9992,100.0,25,"(1, 1, 1)"
Kolkata,341.6,124.5,6.0,278.5,282.0,0.0132,0.9999,96.0,25,"(1, 1, 1)"
Mumbai,344.5,146.9,6.3,295.4,299.0,0.1156,0.9986,96.0,25,"(1, 1, 1)"
Hyderabad,351.1,120.9,5.9,279.5,283.1,0.0,0.9999,96.0,25,"(1, 1, 1)"
Chennai,365.4,133.0,6.4,282.6,286.1,0.1441,0.9998,96.0,25,"(1, 1, 1)"
