state,date,total_enrollments,penetration_rate
Uttar Pradesh,2024-01,15234567,0.85
Uttar Pradesh,2024-02,15345678,0.86
Uttar Pradesh,2024-03,15456789,0.86
Maharashtra,2024-01,10123456,0.95
Maharashtra,2024-02,10234567,0.95
Maharashtra,2024-03,10345678,0.96
Bihar,2024-01,7234567,0.75
Bihar,2024-02,7345678,0.76
Bihar,2024-03,7456789,0.76
Nagaland,2024-01,112345,0.63
Nagaland,2024-02,113456,0.63
Nagaland,2024-03,114567,0.64
Arunachal Pradesh,2024-01,78456,0.60
Arunachal Pradesh,2024-02,79567,0.61
Arunachal Pradesh,2024-03,80678,0.61
Kerala,2024-01,3012345,0.96
Kerala,2024-02,3023456,0.96
Kerala,2024-03,3034567,0.97
Goa,2024-01,145678,0.97
Goa,2024-02,146789,0.97
Goa,2024-03,147890,0.98
